Department,Test Name,Story‑telling (Arabic),Story‑telling (English)
Clinical Chemistry – Diabetes & Metabolic Panel,Insulin (Fasting),"تخيل نظام السكر في جسمك كمزرعة نخيل نشطة، والإنسولين هو المزارع المجتهد الذي يتأكد من أن كل تمرة (سكر) تصل إلى السلال (الخلايا) للتخزين والطاقة. يقيس فحص مستوى انسولين الصائم كمية هذا ""المزارع"" الذي يعمل في جسمك بعد ساعات من عدم تناول الطعام. إنه مثل التحقق مما إذا كان المزارع مستعدًا لبدء عمل اليوم. يساعد هذا الأطباء على فهم ما إذا كان جسمك ينتج كمية كافية من الإنسولين وما إذا كان يستخدمه بفعالية للتحكم في سكر الدم، وهو أمر بالغ الأهمية لإدارة حالات مثل السكري.","Imagine your body's sugar system as a busy date farm, and insulin is the hardworking farmer making sure every date (sugar) gets into the baskets (cells) for storage and energy. The Insulin (Fasting) test measures how much of this ""farmer"" is working in your body after you haven't eaten for hours. It’s like checking if the farmer is ready to start the day's work. This helps doctors understand if your body is producing enough insulin and if it's using it effectively to control your blood sugar, which is crucial for managing conditions like diabetes."
Clinical Chemistry – Diabetes & Metabolic Panel,Oral Glucose Tolerance Test (OGTT) – 2 hr,تخيل معالجة جسمك للسكر كطريق صحراوي به حركة مرور. بعد أن تشرب مشروبًا سكريًا، يتم اختبار قدرة جسمك على التعامل مع هذا السكر. يقيس فحص (تحمل الجسم للسكر المتناول عبر الفم بعد ساعتين)  مدى جودة تخليص جسمك للسكر من دمك بعد ساعتين، تمامًا مثل التحقق من مدى سلاسة تدفق حركة المرور بعد تدفق مفاجئ للسيارات. إذا ظل السكر مرتفعًا، فهذا يشير إلى ازدحامات مرورية في نظامك. يساعد هذا الاختبار الأطباء في تشخيص السكري أو ما قبل السكري من خلال رؤية مدى كفاءة جسمك في معالجة كمية كبيرة من السكر.,"Think of your body's sugar processing as a desert road with traffic. After you drink a sugary drink, your body's ability to handle that sugar is tested. The Oral Glucose Tolerance Test (OGTT) 2 hr measures how well your body clears sugar from your blood after two hours, like checking how smoothly traffic flows after a sudden rush of cars. If the sugar remains high, it suggests traffic jams in your system. This test helps doctors diagnose diabetes or pre-diabetes by seeing how efficiently your body processes a large sugar load."
Clinical Chemistry – Diabetes & Metabolic Panel,Random Blood Glucose,تخيل مستوى السكر في دمك كمستوى الماء في بئر. يتغير هذا المستوى على مدار اليوم حسب ما تأكله وتفعله. يقيس فحص (سكر الدم العشوائي) مستوى السكر الحالي في دمك في أي لحظة عشوائية، دون الحاجة للصيام مسبقًا. إنه مثل غمس دلو في البئر في أي وقت لمعرفة مستوى الماء. يمنح هذا الفحص السريع الأطباء لمحة سريعة عن مستوى السكر لديك، خاصة إذا كنت تعاني من أعراض قد تشير إلى ارتفاع أو انخفاض السكر، مما يساعدهم على تكوين فكرة سريعة عن توازن السكر في جسمك.,"Imagine your blood sugar level is like the water level in a well. It changes throughout the day depending on what you eat and do. The Random Blood Glucose test measures your current blood sugar level at any random moment, without you having to fast beforehand. It’s like dipping a bucket into the well at any time to see the water level. This quick check gives doctors a snapshot of your sugar control, especially if you're experiencing symptoms that might suggest high or low blood sugar, helping them to get a quick idea of your body's sugar balance."
Clinical Chemistry – Electrolytes & Minerals,25‑Hydroxyvitamin D,"تخيل عظامك كخيام صحراوية قوية ومتينة تحتاج إلى دعم جيد لتبقى ثابتة. يعمل فيتامين د كالـحبال والأوتاد التي تُثبّت هذه الخيام، فهو يساعد جسمك على امتصاص مواد البناء (الكالسيوم) التي يحتاجها. يقيس فحص هايدروكسي فيتامين د كمية فيتامين د المخزنة في جسمك، مما يُظهر كم لديك من ""الحبال والأوتاد"" المتاحة. يشير المستوى المنخفض إلى أن ""خيامك"" قد لا تكون قوية بما يكفي، مما يجعلك أكثر عرضة للمشاكل. يساعد هذا الفحص الأطباء على التأكد من أن عظامك وصحتك العامة مدعومة جيدًا.","Imagine your bones are like strong, sturdy desert tents that need good support to stand firm. Vitamin D acts like the ropes and stakes that hold these tents up, helping your body absorb the building blocks (calcium) it needs. The 25-Hydroxyvitamin D test measures your body's stored vitamin D, showing how much ""rope and stakes"" you have available. A low level means your ""tents"" might not be as strong as they should be, making you more prone to problems. This test helps doctors ensure your bones and overall health are well-supported."
Clinical Chemistry – Electrolytes & Minerals,Bicarbonate / CO₂,تخيل جسمك كآلة قهوة دقيقة الضبط، وبيكربونات الصوديوم تشبه الفلتر الذي يحافظ على توازن الحموضة والقلوية بشكل مثالي لأفضل كوب قهوة. ينتج جسمك باستمرار أحماضًا وقواعد، وتساعد البيكربونات على تحييدها، مما يحافظ على توازن صحي. يقيس فحص وبيكربونات سي او ٢ هذا التوازن الهام في دمك. إذا كانت المستويات مرتفعة جدًا أو منخفضة جدًا، فكأن فلتر آلة القهوة لديك معطل، مما يؤثر على الطعم وقد يشير إلى مشاكل في رئتيك أو كليتيك. يساعد هذا الفحص الأطباء على التحقق من توازن الحمض والقاعدة الحيوي في جسمك.,"Think of your body as a finely tuned coffee maker, and bicarbonate is like the filter that keeps the acidity and alkalinity perfectly balanced for the best brew. Your body constantly produces acids and bases, and bicarbonate helps neutralize them, maintaining a healthy balance. The Bicarbonate / CO₂ test measures this important balancing act in your blood. If levels are too high or too low, it's like your coffee maker's filter is off, affecting the taste and potentially indicating problems with your lungs or kidneys. This test helps doctors check your body's crucial acid-base balance."
Clinical Chemistry – Electrolytes & Minerals,Calcium (Ca²⁺),تخيل عظامك كالنخل الطويل القوي. الكالسيوم هو العنصر الغذائي الأساسي، مثل الجذور العميقة، الذي يحافظ على هذه النخيل قوية وصحية، مما يسمح لها بإثمار التمر. يقيس فحص الكالسيوم كمية هذا العنصر البنائي الحيوي المتداول في دمك. إنه مثل فحص صحة الجذور لضمان حصول النخلة على ما يكفي من التغذية. كثرة الكالسيوم أو قلته يمكن أن يؤثر على عظامك وعضلاتك وأعصابك، لذلك يساعد هذا الفحص الأطباء على مراقبة قوة جسمك الأساسية ورفاهيته العامة.,"Imagine your bones are like strong, tall date palm trees. Calcium is the essential nutrient, like the deep roots, that keeps these trees standing firm and healthy, allowing them to bear fruit. The Calcium (Ca²⁺) test measures the amount of this vital building block circulating in your blood. It's like checking the health of the roots to ensure the tree is getting enough nourishment. Too much or too little calcium can affect your bones, muscles, and nerves, so this test helps doctors monitor your body's foundational strength and overall well-being."
Clinical Chemistry – Electrolytes & Minerals,Chloride (Cl⁻),"تخيل جسمك كمخيم صحراوي منظم جيدًا، والكلوريد هو مثل الملح الأساسي الذي يوازن الماء ويحافظ على عمل كل شيء بسلاسة، من عطشك إلى عملية الهضم لديك. يقيس فحص الكلوريد كمية هذا ""الملح"" الحيوي في دمك. إذا كانت مستوياته غير متوازنة، فكأن الملح في طعام أو ماء مخيمك غير متوازن، مما يؤثر على شعورك وكيف يعمل جسمك. يساعد هذا الفحص الأطباء على فهم توازن السوائل لديك وصحة كليتيك، لضمان بقاء ""مخيمك"" الداخلي في أفضل حال.","Imagine your body is like a well-organized desert camp, and chloride is like the essential salt that balances the water and keeps everything functioning smoothly, from your thirst to your digestion. The Chloride (Cl⁻) test measures the amount of this crucial ""salt"" in your blood. If its levels are off, it's like the salt in your camp's food or water is out of balance, affecting how you feel and how your body works. This test helps doctors understand your fluid balance and kidney health, ensuring your internal ""camp"" stays in perfect order."
Clinical Chemistry – Electrolytes & Minerals,Ferritin,"تخيل الحديد في جسمك كمواد بناء لمنزل قوي، والفيريتين يشبه المستودع الذي يخزن هذه المواد. يحتاج جسمك إلى الحديد لبناء خلايا دم حمراء صحية، والتي تشبه شاحنات التوصيل التي تحمل الأكسجين. يقيس فحص الفيريتين كمية الحديد المخزنة في ""مستودع"" جسمك. إذا كانت مستويات الفيريتين لديك منخفضة، فهذا يعني أن مستودعك يعاني من نقص في مواد البناء، مما قد يؤدي إلى نقص الطاقة ومشاكل صحية أخرى. يساعد هذا الفحص الأطباء على فهم احتياطيات الحديد لديك ومنع مشاكل مثل نقص الحديد.","Think of iron in your body as building materials for a strong house, and Ferritin is like the warehouse that stores these materials. Your body needs iron to build healthy red blood cells, which are like delivery trucks carrying oxygen. The Ferritin test measures how much iron is stored in your body's warehouse. If your ferritin levels are low, it means your warehouse is running low on building materials, which can lead to low energy and other health issues. This test helps doctors understand your iron reserves and prevent problems like iron deficiency."
Clinical Chemistry – Electrolytes & Minerals,Folate,"تخيل جسمك كموقع بناء مزدحم، وحمض الفوليك (الفولات) هو بمثابة أداة أساسية أو مخطط ضروري لبناء خلايا جديدة وصحية بسرعة، خاصة لتكوين خلايا الدم الحمراء. يقيس فحص الفولات كمية هذا ""المخطط"" الحيوي في دمك. إذا لم يكن لديك ما يكفي من حمض الفوليك، فكأن عمال البناء لا يملكون جميع الخطط التي يحتاجونها، مما يجعل من الصعب بناء خلايا جديدة وقوية. هذا يمكن أن يؤدي إلى التعب ومشاكل أخرى. يساعد هذا الفحص الأطباء على التأكد من أن جسمك لديه الأدوات المناسبة لنمو الخلايا الصحي.","Imagine your body is a busy construction site, and folate (also known as Folic Acid) is like an essential tool or blueprint needed for quickly building new, healthy cells, especially for making red blood cells. The Folate test measures the amount of this crucial ""blueprint"" in your blood. If you don't have enough folate, it's like the construction workers don't have all the plans they need, making it hard to build new, strong cells. This can lead to tiredness and other issues. This test helps doctors ensure your body has the right tools for healthy cell growth."
Clinical Chemistry – Electrolytes & Minerals,Iron,"تخيل خلايا الدم الحمراء كقافلة من الشاحنات الصغيرة تسير على طريق صحراوي، حاملة الأكسجين إلى كل جزء من جسمك. الحديد هو جزء المحرك الأساسي الذي يسمح لهذه الشاحنات بحمل بضائعها الثمينة. يقيس فحص الايرون كمية ""جزء المحرك"" هذا المتداول في دمك. إذا لم يكن لديك ما يكفي من الحديد، فلا تستطيع شاحناتك حمل ما يكفي من الأكسجين، مما يجعلك تشعر بالتعب والضعف. يساعد هذا الفحص الأطباء على فهم ما إذا كان جسمك لديه ما يكفي من الحديد للحفاظ على نظام توصيل الأكسجين يعمل بسلاسة.","Imagine your red blood cells are like a fleet of small trucks driving on a desert road, carrying oxygen to every part of your body. Iron is the crucial engine part that allows these trucks to carry their precious cargo. The Iron test measures the amount of this essential ""engine part"" circulating in your blood. If you don't have enough iron, your trucks can't carry enough oxygen, making you feel tired and weak. This test helps doctors understand if your body has enough iron to keep your oxygen delivery system running smoothly."
Clinical Chemistry – Electrolytes & Minerals,Magnesium (Mg²⁺),"تخيل عمليات جسمك العديدة، مثل انقباض العضلات أو إرسال الأعصاب للإشارات، كشبكة واسعة من الأسلاك الكهربائية. المغنيسيوم يشبه الكهربائي الذي يضمن أن جميع هذه التوصيلات مستقرة وتعمل بشكل صحيح، ويمنع الشرارات أو الدوائر القصيرة. يقيس فحص المغنيسيوم كمية هذا ""الكهربائي"" الحيوي في دمك. إذا كانت مستويات المغنيسيوم منخفضة جدًا أو مرتفعة جدًا، فقد يؤدي ذلك إلى تعطيل هذه الإشارات الكهربائية الحاسمة، مما يؤثر على نبضات قلبك وعضلاتك وأعصابك. يساعد هذا الفحص الأطباء على الحفاظ على الأسلاك الداخلية لجسمك في حالة ممتازة.","Think of your body's many processes, like muscles contracting or nerves sending signals, as a vast network of electrical wires. Magnesium is like the electrician who ensures all these connections are stable and working correctly, preventing sparks or short circuits. The Magnesium (Mg²⁺) test measures the amount of this vital ""electrician"" in your blood. If magnesium levels are too low or high, it can disrupt these crucial electrical signals, affecting your heart rhythm, muscles, and nerves. This test helps doctors keep your body's internal wiring in perfect order."
Clinical Chemistry – Electrolytes & Minerals,Phosphorus (PO₄³⁻),"تخيل عظامك وأسنانك كبيوت سعودية تقليدية قوية ومتينة مبنية من مواد أساسية. الفوسفور هو لبنة بناء رئيسية، مثل الطوب والملاط الصلب، وهو ضروري لبناء هذه الهياكل القوية والحفاظ عليها. يقيس فحص الفوسفور كمية ""مادة البناء"" الحيوية هذه المتداولة في دمك. كما يلعب دورًا في كيفية استخدام جسمك للطاقة. إذا كانت مستويات الفوسفور منخفضة جدًا أو مرتفعة جدًا، فكأن لديك عددًا قليلاً جدًا أو كثيرًا جدًا من الطوب، مما يؤثر على قوة عظامك ووظائف الجسم بشكل عام. يساعد هذا الفحص الأطباء على التأكد من أن جسمك لديه لبنات البناء الصحيحة.","Imagine your bones and teeth are like strong, sturdy traditional Saudi homes built from essential materials. Phosphorus is a key building block, like the solid bricks and mortar, crucial for constructing and maintaining these strong structures. The Phosphorus (PO₄³⁻) test measures the amount of this vital ""building material"" circulating in your blood. It also plays a role in how your body uses energy. If phosphorus levels are too low or high, it's like having too few or too many bricks, impacting your bone strength and overall body functions. This test helps doctors ensure your body has the right building blocks."
Clinical Chemistry – Electrolytes & Minerals,Potassium (K⁺),"تخيل خلايا جسمك كخيام صغيرة فردية في مخيم صحراوي، وكل منها يحتاج إلى التوازن الصحيح للموارد في الداخل والخارج لتبقى ثابتة وصحية. البوتاسيوم معدن حيوي يساعد في إدارة توازن السوائل والإشارات الكهربائية داخل هذه الخلايا، مثل مدير مخيم جيد يضمن توزيع الموارد بشكل صحيح. يقيس فحص البوتاسيوم هذا المدير المهم في دمك. إذا كانت مستويات البوتاسيوم مرتفعة جدًا أو منخفضة جدًا، فقد يؤدي ذلك إلى تعطيل إيقاع قلبك ووظيفة عضلاتك، لذلك يساعد هذا الفحص الأطباء على إبقاء ""مخيم"" خلاياك يعمل بسلاسة.","Imagine your body's cells are like small, individual tents in a desert camp, each needing the right balance of resources inside and out to stay standing and healthy. Potassium is a vital mineral that helps manage the fluid balance and electrical signals within these cells, like a good camp manager ensuring resources are properly distributed. The Potassium (K⁺) test measures this important manager in your blood. If potassium levels are too high or low, it can disrupt your heart rhythm and muscle function, so this test helps doctors keep your cellular ""camp"" running smoothly."
Clinical Chemistry – Electrolytes & Minerals,Sodium (Na⁺),"تخيل نظام الماء في جسمك كشبكة كبيرة ومعقدة من الأودية والبرك الصحراوية، والصوديوم يشبه الملح الأساسي الذي يضمن بقاء الماء في الأماكن الصحيحة وتحركه بشكل سليم. يلعب دورًا كبيرًا في موازنة السوائل والإشارات العصبية ووظيفة العضلات. يقيس فحص الصوديوم هذا ""الملح"" الحيوي في دمك. إذا كانت مستوياته مرتفعة جدًا أو منخفضة جدًا، فكأن الأودية إما جافة جدًا أو تفيض، مما يؤثر على طريقة عمل أنظمة جسمك، وخاصة دماغك. يساعد هذا الفحص الأطباء على تنظيم توازن السوائل في جسمك بشكل مثالي.","Think of your body's water system as a large, intricate network of desert wadis and pools, and sodium is like the essential salt that ensures water stays in the right places and moves properly. It plays a huge role in balancing fluids, nerve signals, and muscle function. The Sodium (Na⁺) test measures this crucial ""salt"" in your blood. If its levels are too high or low, it's like the wadis are either too dry or overflowing, affecting how your body's systems, especially your brain, work. This test helps doctors keep your body's fluid balance perfectly regulated."
Clinical Chemistry – Electrolytes & Minerals,TIBC (Total Iron Binding Capacity),"تخيل دمك طريقًا صحراويًا مزدحمًا، وشاحنات متخصصة مصممة لحمل الحديد، وهو عنصر غذائي حيوي، إلى حيث يحتاجه جسمك. يقيس فحص ""القدرة الكلية لارتباط الحديد عدد ""شاحنات نقل الحديد"" الفارغة المتوفرة على هذا الطريق السريع. إنه لا يحسب الحديد نفسه، بل عدد المقاعد الفارغة على الشاحنات الجاهزة لالتقاط المزيد من الحديد. تعني قيمة TIBC المرتفعة وجود العديد من الشاحنات الفارغة التي تنتظر الحديد، مما يشير إلى أن جسمك قد يعاني من نقص. يساعد هذا الفحص الأطباء على فهم قدرة جسمك على نقل الحديد، مما يعطي أدلة حول نقص الحديد.","Imagine your blood is a busy desert highway, and specialized trucks are built to carry iron, a vital nutrient, to where it's needed in your body. TIBC (Total Iron Binding Capacity) measures how many empty ""iron-carrying trucks"" are available on this highway. It doesn't count the iron itself, but rather the empty seats on the trucks ready to pick up more iron. A high TIBC means many empty trucks are waiting for iron, suggesting your body might be running low. This test helps doctors understand your body’s capacity to transport iron, giving clues about iron deficiency."
Clinical Chemistry – Electrolytes & Minerals,Transferrin Saturation,تخيل أن جسمك يحتاج إلى إمدادات ثابتة من الماء العذب، والحديد يشبه هذا الماء الثمين. الترانسفيرين هو أسطول صهاريج المياه، التي تتحرك باستمرار في جسمك، مصممة لحمل هذا الماء الحيوي. يقيس فحص الترانسفيرين عدد صهاريج المياه هذه الممتلئة حاليًا بالماء مقارنة بسعتها الإجمالية. إذا كانت معظم الصهاريج ممتلئة، فإن جسمك لديه الكثير من الماء المتاح بسهولة. وإذا كان عدد قليل جدًا ممتلئًا، فكأن هناك الكثير من الصهاريج الفارغة على الطريق، مما يشير إلى أن جسمك قد يعاني من نقص في إمداداته الثمينة من الماء. يساعد هذا الأطباء على معرفة مدى كفاءة نظام توصيل المياه في جسمك.,"Imagine your body needs a steady supply of fresh water, and iron is like that precious water. Transferrin is the fleet of water tankers, constantly moving through your body, designed to carry this vital water. The Transferrin Saturation test measures how many of these water tankers are currently full of water compared to their total capacity. If most tankers are full, your body has plenty of water readily available. If very few are full, it's like a lot of empty tankers are on the road, suggesting your body might be running low on its precious water supply. This helps doctors see how well your body's water delivery system is working."
